,userid,score,br_annotation,br_reading_action,vc_success_run,vc_failed_run,vc_action,vc_error_type,P_oj.Accept,P_oj.CompileError,P_oj.RuntimeError,P_oj.TimeLimitExceeded,P_oj.WrongAnswer,E_oj.Accept,E_oj.CompileError,E_oj.RuntimeError,E_oj.TimeLimitExceeded,E_oj.WrongAnswer,RS_accept,RS_wrong,AS_accept,AS_wrong,intrinsic_前,extrinsic_前,task_value_前,control_beliefs_前,self_efficacy_前,test_anxiety_前,intrinsic_後,extrinsic_後,task_value_後,control_beliefs_後,self_efficacy_後,test_anxiety_後,rehearsal_前,elaboration_前,organization_前,critical_thinking_前,metacognitive_self_regulation_前,time_environment_前,effort_regulation_前,peer_learning_前,help_seeking_前,rehearsal_後,elaboration_後,organization_後,critical_thinking_後,metacognitive_self_regulation_後,time_environment_後,effort_regulation_後,peer_learning_後,help_seeking_後,內在_C1(變數與資料型態),外在_C1(變數與資料型態),增生_C1(變數與資料型態),內在_C2(數值與字串型態運用),外在_C2(數值與字串型態運用),增生_C2(數值與字串型態運用),內在_C3(串列List),外在_C3(串列List),增生_C3(串列List),內在_C4(IF選擇),外在_C4(IF選擇),增生_C4(IF選擇),內在_C5&6(For&While),外在_C5&6(For&While),增生_C5&6(For&While),內在_C7(Dictionary),外在_C7(Dictionary),增生_C7(Dictionary),內在_C8(Function),外在_C8(Function),增生_C8(Function),內在_Git&GitHub,外在_Git&GitHub,增生_Git&GitHub
10,109401556,31.0,54.0,1413.0,257.0,48.0,118.0,3.0,35.0,1.0,0.0,0.0,9.0,26.0,1.0,3.0,2.0,19.0,35.0,78.0,34.0,5.0,,,,,,,,,,,,,5.0,5.0,4.0,4.0,3.67,3.38,3.0,4.0,3.5,,,,,,,,,,2.0,2.0,9.0,2.0,2.0,9.0,3.0,3.0,8.0,2.0,2.0,9.0,,,,,,,,,,,,
11,109401563,86.0,17.0,992.0,289.0,18.0,106.0,5.0,41.0,2.0,6.0,0.0,29.0,29.0,1.0,11.0,0.0,11.0,44.0,61.0,51.0,5.0,4.0,2.75,4.5,3.75,4.38,3.0,4.0,3.75,4.83,3.0,4.38,2.0,4.5,4.5,4.25,4.2,3.83,4.12,4.25,4.0,3.25,3.75,4.83,3.5,4.2,4.17,4.12,4.0,4.33,3.25,1.33,2.0,7.25,1.0,1.33,9.0,2.0,3.0,9.0,2.0,4.33,6.0,2.0,2.67,8.0,2.33,2.33,8.0,1.0,1.0,9.0,1.0,1.0,9.0
12,109408008,93.0,208.0,3657.0,629.0,125.0,108.0,10.0,50.0,7.0,28.0,0.0,66.0,37.0,6.0,12.0,2.0,34.0,44.0,54.0,61.0,11.0,4.75,3.5,5.0,3.25,3.75,3.4,4.5,4.25,5.0,3.75,4.88,1.8,,,,,,,,,,5.0,4.0,3.5,4.0,4.08,3.88,5.0,4.0,4.0,5.0,1.0,9.75,5.67,2.0,8.0,6.33,2.0,9.0,5.0,1.0,9.0,5.0,1.0,9.0,5.0,1.0,9.0,,,,,,
13,109408516,89.0,148.0,2132.0,212.0,111.0,148.0,7.0,77.0,10.0,22.0,2.0,38.0,64.0,13.0,12.0,0.0,25.0,102.0,119.0,114.0,66.0,3.0,4.5,4.17,4.5,3.62,2.4,3.5,3.5,4.33,4.5,3.5,1.6,,,,,,,,,,4.0,4.0,3.5,4.0,3.92,4.38,3.5,3.0,3.5,3.0,2.33,8.0,4.0,1.67,6.75,3.33,1.0,8.25,4.67,3.0,7.0,,,,,,,2.0,2.0,5.25,4.0,2.0,6.25
14,109408524,87.0,122.0,3462.0,469.0,61.0,98.0,6.0,109.0,33.0,39.0,0.0,36.0,67.0,11.0,27.0,0.0,55.0,42.0,60.0,60.0,17.0,4.25,3.75,4.67,4.0,3.0,3.6,3.5,4.25,4.5,4.0,3.38,3.4,4.5,4.0,4.0,4.0,3.92,4.38,4.25,3.0,3.5,3.75,3.33,3.75,3.2,3.33,4.0,4.0,3.0,3.5,2.0,1.0,9.0,2.0,1.0,9.0,9.0,1.0,9.0,7.0,1.0,9.25,8.0,1.0,9.0,9.0,1.0,8.0,,,,,,
15,109408527,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,109408535,67.0,134.0,4438.0,78.0,3.0,44.0,1.0,33.0,0.0,9.0,0.0,12.0,21.0,0.0,0.0,0.0,19.0,37.0,46.0,47.0,31.0,3.5,3.5,3.5,2.75,1.88,3.0,1.0,4.25,2.5,2.25,1.0,4.6,,,,,,,,,,3.0,1.5,3.0,1.0,2.25,2.0,1.0,1.0,2.25,,,,,,,,,,,,,,,,,,,,,,,,
17,109409014,81.0,58.0,2317.0,116.0,56.0,126.0,3.0,47.0,12.0,16.0,0.0,10.0,27.0,2.0,1.0,0.0,6.0,46.0,53.0,50.0,18.0,,,,,,,3.75,4.25,3.17,4.0,3.0,2.6,4.25,4.0,4.25,4.6,3.92,3.38,4.0,3.0,4.0,3.75,3.33,3.75,3.4,3.33,2.88,3.25,3.67,3.75,,,,6.0,5.0,7.75,6.0,5.0,8.25,,,,8.33,7.67,7.25,9.33,5.0,7.25,10.0,6.67,9.75,7.0,3.67,9.0
18,109409526,86.0,58.0,2450.0,689.0,150.0,100.0,7.0,52.0,21.0,11.0,4.0,80.0,47.0,8.0,10.0,0.0,20.0,35.0,48.0,92.0,51.0,4.75,5.0,5.0,3.25,4.12,2.8,4.75,5.0,5.0,4.0,4.88,2.2,5.0,5.0,5.0,5.0,4.25,4.5,4.25,5.0,4.0,3.75,4.33,5.0,4.6,4.0,4.88,5.0,4.33,4.0,1.67,1.0,10.0,2.67,1.0,10.0,1.0,1.0,10.0,1.0,1.0,10.0,1.33,1.0,10.0,1.0,1.0,10.0,1.0,1.0,10.0,2.0,1.0,10.0
19,109409526,86.0,58.0,2450.0,689.0,150.0,100.0,7.0,52.0,21.0,11.0,4.0,80.0,47.0,8.0,10.0,0.0,20.0,35.0,48.0,92.0,51.0,4.75,5.0,5.0,3.25,4.12,2.8,4.75,5.0,5.0,4.0,4.88,2.2,4.0,5.0,5.0,4.6,4.42,4.88,4.5,4.67,4.0,3.75,4.33,5.0,4.6,4.0,4.88,5.0,4.33,4.0,1.67,1.0,10.0,2.67,1.0,10.0,1.0,1.0,10.0,1.0,1.0,10.0,1.33,1.0,10.0,1.0,1.0,10.0,1.0,1.0,10.0,2.0,1.0,10.0
20,109409529,87.0,29.0,2964.0,376.0,114.0,96.0,6.0,49.0,9.0,13.0,0.0,14.0,35.0,8.0,6.0,1.0,30.0,79.0,65.0,40.0,12.0,4.0,4.5,4.33,4.25,4.5,4.6,4.5,5.0,5.0,4.75,5.0,4.8,4.25,4.33,4.0,4.2,3.92,3.38,3.25,4.33,3.75,3.0,4.17,4.5,4.4,3.92,3.5,3.0,4.33,3.5,2.33,2.33,2.25,2.67,1.0,8.5,3.0,2.0,8.25,2.67,2.0,8.75,,,,,,,,,,,,
21,110102535,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3.0,3.25,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,110103505,67.0,19.0,4646.0,564.0,83.0,130.0,7.0,46.0,18.0,21.0,0.0,26.0,19.0,0.0,8.0,0.0,19.0,34.0,51.0,34.0,22.0,3.0,3.75,2.83,2.75,2.12,4.0,2.0,3.0,3.0,2.75,2.0,3.6,,,,,,,,,,3.0,3.0,3.0,3.0,2.92,3.0,3.0,3.0,3.0,,,,5.0,5.33,5.0,8.0,7.0,5.0,5.0,5.0,5.0,,,,,,,6.0,5.33,5.0,6.33,5.67,5.0
23,110303583,92.0,94.0,1504.0,328.0,38.0,116.0,6.0,51.0,4.0,13.0,0.0,31.0,33.0,0.0,17.0,0.0,22.0,56.0,87.0,53.0,14.0,4.75,4.25,4.67,4.0,4.25,2.8,4.25,4.0,4.0,3.25,4.0,3.2,4.25,4.0,4.5,3.8,3.5,3.38,3.0,3.0,4.0,4.0,4.0,4.25,3.2,2.92,3.5,3.75,2.0,3.0,3.0,1.0,8.5,3.0,1.33,8.0,4.33,3.0,7.25,3.67,1.0,8.25,4.0,2.33,7.75,1.0,1.0,8.75,2.0,1.33,8.0,6.67,3.33,6.5
24,110303583,92.0,94.0,1504.0,328.0,38.0,116.0,6.0,51.0,4.0,13.0,0.0,31.0,33.0,0.0,17.0,0.0,22.0,56.0,87.0,53.0,14.0,4.75,4.25,4.67,4.0,4.25,2.8,4.25,4.0,4.0,3.25,4.0,3.2,3.75,4.0,4.75,3.6,3.75,3.0,2.75,1.67,3.25,4.0,4.0,4.25,3.2,2.92,3.5,3.75,2.0,3.0,3.0,1.0,8.5,3.0,1.33,8.0,4.33,3.0,7.25,3.67,1.0,8.25,4.0,2.33,7.75,1.0,1.0,8.75,2.0,1.33,8.0,6.67,3.33,6.5
25,110401028,73.0,70.0,1282.0,84.0,97.0,14.0,5.0,41.0,3.0,10.0,0.0,38.0,20.0,27.0,24.0,0.0,46.0,35.0,54.0,85.0,46.0,3.5,3.75,4.0,4.0,3.5,2.2,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,
26,110401029,89.0,76.0,1456.0,121.0,14.0,100.0,3.0,46.0,14.0,18.0,0.0,23.0,26.0,1.0,8.0,0.0,6.0,61.0,71.0,49.0,15.0,5.0,4.5,5.0,5.0,5.0,1.2,4.0,5.0,4.17,5.0,4.12,2.4,,,,,,,,,,3.75,4.0,2.75,3.6,3.58,4.25,3.5,3.67,3.5,2.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,
27,110409511,97.0,109.0,2490.0,309.0,19.0,90.0,3.0,49.0,6.0,20.0,0.0,17.0,35.0,3.0,2.0,1.0,3.0,87.0,70.0,44.0,8.0,3.25,5.0,4.67,4.0,4.5,4.2,5.0,4.5,4.67,3.75,3.62,4.2,4.0,4.0,4.5,3.2,3.67,3.75,3.25,4.33,3.75,4.5,4.83,5.0,5.0,4.17,3.75,4.25,4.0,3.75,3.33,1.0,8.0,4.67,2.33,7.0,3.0,1.0,8.0,2.0,1.0,9.0,4.0,1.0,10.0,1.0,1.0,10.0,3.0,1.0,8.5,3.0,1.33,9.0
28,111102534,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,111401008,66.0,184.0,3089.0,225.0,42.0,42.0,6.0,36.0,1.0,12.0,0.0,20.0,33.0,4.0,4.0,0.0,2.0,73.0,70.0,64.0,41.0,4.0,4.0,4.0,3.75,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.4,,,,,,,,,,4.0,4.0,4.0,4.0,3.67,3.5,3.25,3.67,3.5,,,,,,,,,,,,,,,,,,,,,,,,
30,111401020,68.0,56.0,3777.0,363.0,52.0,66.0,5.0,15.0,26.0,10.0,0.0,16.0,14.0,4.0,3.0,0.0,17.0,84.0,76.0,64.0,23.0,4.5,4.75,4.83,4.0,4.62,4.6,4.0,3.5,4.5,3.75,3.5,4.0,,,,,,,,,,3.75,3.33,3.75,3.6,3.42,2.75,3.0,4.0,3.5,,,,,,,6.33,3.67,7.5,6.33,2.67,8.75,,,,,,,,,,,,
31,111401504,89.0,24.0,3426.0,473.0,134.0,100.0,11.0,46.0,17.0,18.0,1.0,18.0,35.0,1.0,36.0,0.0,41.0,66.0,107.0,103.0,23.0,3.75,3.75,3.83,4.0,3.0,2.8,4.0,3.75,3.83,4.0,3.25,4.2,4.0,3.5,3.75,3.0,3.33,3.5,3.5,2.0,3.0,4.0,3.83,3.75,4.0,3.75,3.75,3.5,3.0,3.5,6.0,5.0,6.75,6.67,3.0,7.0,,,,3.0,2.33,6.0,6.0,5.67,7.25,3.67,3.0,7.0,,,,,,
32,111401518,81.0,21.0,2981.0,363.0,42.0,52.0,9.0,45.0,14.0,32.0,0.0,69.0,31.0,2.0,2.0,5.0,23.0,45.0,130.0,63.0,27.0,,,,,,,3.75,3.5,4.33,3.75,2.88,2.4,3.25,3.67,3.5,4.0,3.33,3.88,3.5,3.0,3.5,3.5,3.33,2.75,3.0,2.92,3.5,3.75,2.33,3.0,,,,2.0,1.67,8.0,2.0,1.0,8.5,1.33,1.0,9.0,4.67,2.67,8.0,3.0,3.0,8.0,8.0,2.67,7.0,,,
33,111401563,92.0,35.0,819.0,736.0,41.0,106.0,9.0,54.0,1.0,9.0,0.0,22.0,35.0,0.0,3.0,0.0,8.0,41.0,82.0,50.0,16.0,4.25,3.75,4.5,4.25,4.0,3.2,,,,,,,3.75,4.0,4.0,4.0,3.75,3.25,3.0,4.0,3.5,4.0,4.0,4.0,4.0,3.67,3.25,3.0,4.0,3.5,1.67,2.0,9.0,3.0,4.67,9.0,3.0,3.0,8.0,4.0,4.0,8.0,,,,,,,5.67,5.0,9.0,7.33,2.33,10.0
34,111409535,91.0,263.0,3433.0,456.0,52.0,128.0,6.0,50.0,9.0,9.0,2.0,42.0,32.0,3.0,4.0,0.0,12.0,60.0,47.0,60.0,20.0,4.25,3.25,3.67,4.5,3.12,2.0,4.75,3.5,4.0,4.25,3.25,2.0,3.75,3.83,3.75,3.8,3.67,4.0,4.0,2.33,4.5,4.0,3.83,3.75,4.4,3.58,4.25,4.25,1.67,3.5,3.0,2.0,9.0,3.0,3.0,8.0,3.0,2.0,9.0,2.0,2.0,8.75,2.0,2.0,9.0,2.0,2.0,9.0,2.0,2.0,9.0,,,
35,111601511,88.0,38.0,2052.0,315.0,43.0,74.0,7.0,48.0,5.0,5.0,0.0,47.0,35.0,1.0,2.0,0.0,16.0,90.0,94.0,74.0,15.0,3.75,4.25,4.67,4.25,4.0,3.0,4.0,3.75,4.83,4.5,4.0,2.6,3.5,4.17,3.25,3.8,3.5,3.0,3.0,2.67,2.75,3.5,3.5,3.5,3.4,3.5,3.25,4.0,2.0,2.25,2.0,2.0,10.0,3.0,2.33,9.0,3.0,3.0,9.0,3.0,2.67,9.0,3.0,3.0,9.0,3.0,3.0,9.0,3.0,3.0,9.0,5.0,4.67,6.0
36,112408007,91.0,115.0,1779.0,456.0,33.0,40.0,8.0,51.0,4.0,14.0,0.0,47.0,34.0,0.0,3.0,0.0,11.0,39.0,46.0,46.0,10.0,3.75,4.5,4.0,3.0,3.75,4.4,4.25,4.25,4.5,2.75,3.88,4.4,4.0,3.67,3.75,3.8,3.5,3.62,2.5,3.33,4.25,3.75,3.83,3.75,3.8,3.75,3.88,3.5,2.0,3.25,3.33,1.33,8.0,7.0,6.0,8.5,7.33,5.0,8.75,8.0,4.0,8.0,9.0,4.67,8.75,9.0,3.0,8.5,6.67,4.67,7.0,4.0,3.33,6.75
37,112408531,95.0,176.0,2591.0,60.0,8.0,158.0,1.0,47.0,6.0,11.0,0.0,51.0,33.0,1.0,11.0,0.0,38.0,70.0,71.0,43.0,7.0,4.5,4.25,4.67,4.0,5.0,5.0,3.25,3.75,4.0,4.5,3.88,1.8,4.5,4.33,4.5,4.4,3.42,3.75,2.5,4.0,4.0,3.0,3.67,3.5,3.2,3.33,3.38,3.25,3.33,3.0,1.0,4.0,10.0,1.0,1.0,9.0,1.0,1.0,8.5,1.0,1.0,9.25,1.0,1.0,10.0,1.0,1.0,10.0,1.0,1.0,10.0,3.33,1.0,10.0
38,112409535,87.0,88.0,2991.0,79.0,1.0,36.0,1.0,25.0,2.0,3.0,0.0,15.0,33.0,0.0,4.0,0.0,28.0,42.0,76.0,66.0,32.0,2.75,3.75,3.33,3.0,3.0,3.0,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0,4.33,3.5,3.0,5.0,4.0,10.0,10.0,10.0,5.0,5.0,5.0,10.0,6.67,7.0,5.0,5.0,5.0,,,,,,,,,,,,
39,109409509,,,,4.0,0.0,14.0,0.0,4.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,,,,,3.0,4.75,4.0,3.0,3.12,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,11103505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,6.0,6.33,5.25,,,,,,,,,,,,,,,,,,,,,
41,109203103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2.0,8.5,,,,,,,,,,,,,,,,,,
